item_name,text,type,answers,values,lot_r_total,optional,btn_width,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>Choose one response that best describes how strongly each item applies to you:</span></span>,instruct,,,,,,
lotr_1,"In uncertain times, I usually expect the best",likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,1,no,100px,
lotr_2,It's easy for me to relax,likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,,no,100px,
lotr_3,If something can go wrong for me it will,likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,r1,no,100px,
lotr_4,I'm always optimistic about my future,likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,1,no,100px,
lotr_5,I enjoy my friends a lot,likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,,no,100px,
lotr_6,It's important for me to keep busy,likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,1,no,100px,
lotr_7,I hardly ever expect things to go my way,likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,r1,no,100px,
lotr_8,I don't get upset too easily,likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,,no,100px,
lotr_9,I rarely count on good things happening to me,likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,r1,no,100px,
lotr_10,"Overall, I expect more good things to happen to me than bad",likert,Strongly Disagree| Disagree| Neutral| Agree| Strongly Agree,0|1|2|3|4,1,no,100px,
,,,,,,,,
